device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,2,59.4,20.36,49.12,21.37,27.61,2.58,45.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,3,57.29,19.86,50.35,21.27,27.36,2.58,46.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,4,56.91,20.81,48.05,21.26,28.11,2.58,44.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,5,59.32,20.72,48.26,21.23,27.53,2.58,44.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,1,143.09,21.12,47.35,21.45,26.86,2.58,43.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,2,145.6,20.68,48.36,21.11,27.66,2.58,44.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,3,140.23,20.21,49.48,21.24,28.0,2.58,45.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,4,145.7,20.57,48.61,21.11,27.24,2.58,44.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,5,140.96,20.03,49.93,21.38,27.2,2.58,46.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,1,14.37,32.22,31.04,32.54,42.56,2.58,28.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,2,13.96,31.03,32.23,32.93,42.02,2.58,29.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,3,14.45,30.18,33.13,32.49,42.85,2.58,30.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,4,14.25,30.99,32.27,32.36,41.1,2.58,29.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,5,13.98,31.0,32.26,32.32,40.75,2.58,29.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,1,21.25,30.55,32.73,32.46,41.33,2.58,30.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,2,22.24,30.71,32.56,32.58,41.49,2.58,30.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,3,22.78,31.14,32.11,32.66,42.06,2.58,29.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,4,21.69,29.94,33.4,32.03,41.49,2.58,30.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,5,21.68,31.61,31.64,32.73,41.12,2.58,29.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,1,32.32,31.72,31.53,32.52,42.02,2.58,29.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,2,33.37,31.7,31.55,33.1,41.5,2.58,29.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,3,31.43,31.14,32.11,33.05,41.53,2.58,29.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,4,34.43,30.73,32.54,32.91,41.83,2.58,30.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,5,33.77,30.59,32.69,32.43,41.03,2.58,30.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,1,55.47,31.99,31.26,32.74,42.05,2.58,28.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,2,58.62,32.56,30.71,32.06,41.24,2.58,28.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,3,58.66,31.44,31.81,32.85,40.53,2.58,29.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,4,59.45,31.21,32.04,33.0,42.93,2.58,29.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,5,59.61,31.18,32.07,33.04,42.51,2.58,29.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,1,145.36,31.81,31.44,32.39,40.85,2.58,29.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,2,141.67,31.95,31.3,32.59,41.4,2.58,29.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,3,143.49,31.18,32.07,32.33,41.8,2.58,29.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,4,142.52,31.54,31.71,32.4,42.25,2.58,29.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,5,140.87,32.46,30.81,32.91,42.32,2.58,28.5,modeled,2026-05-09T23:05:38
