device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,2,9.74,9.07,110.25,9.83,12.54,1.6,50.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,3,9.82,9.46,105.71,9.83,12.94,1.6,48.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,4,9.65,9.72,102.88,9.98,12.35,1.6,47.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,5,10.23,9.38,106.61,9.7,12.77,1.6,48.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,1,14.89,9.3,107.53,9.86,12.98,1.6,49.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,2,14.92,9.38,106.61,9.93,12.61,1.6,48.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,3,14.92,9.38,106.61,9.89,12.82,1.6,48.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,4,14.79,9.35,106.95,9.9,12.63,1.6,49.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,5,14.93,9.48,105.49,9.82,12.5,1.6,48.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,1,22.07,9.59,104.28,9.97,12.7,1.6,47.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,2,22.76,9.3,107.53,9.89,12.8,1.6,49.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,3,22.44,9.71,102.99,9.82,12.54,1.6,47.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,4,22.25,9.35,106.95,9.9,12.66,1.6,49.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,5,22.25,9.43,106.04,9.91,12.56,1.6,48.7,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,1,39.05,9.34,107.07,9.86,12.45,1.6,49.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,2,39.92,9.66,103.52,9.88,12.68,1.6,47.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,3,39.16,9.61,104.06,9.95,12.97,1.6,47.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,4,39.57,9.53,104.93,9.95,12.59,1.6,48.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,5,39.97,9.32,107.3,9.75,13.0,1.6,49.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,1,96.15,9.67,103.41,9.88,12.99,1.6,47.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,2,93.31,9.35,106.95,9.83,12.61,1.6,49.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,3,96.08,9.34,107.07,9.89,12.5,1.6,49.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,4,92.82,9.79,102.15,9.78,12.73,1.6,46.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,5,96.64,9.48,105.49,9.83,12.46,1.6,48.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,1,9.75,9.89,101.11,10.43,13.21,1.6,46.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,2,10.03,10.14,98.62,10.47,13.49,1.6,45.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,3,10.07,10.15,98.52,10.34,13.26,1.6,45.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,4,9.97,9.68,103.31,10.33,13.39,1.6,47.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,5,9.61,10.1,99.01,10.3,13.24,1.6,45.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,1,14.99,9.91,100.91,10.29,13.32,1.6,46.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,2,14.23,9.7,103.09,10.45,13.05,1.6,47.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,3,14.47,9.91,100.91,10.27,13.23,1.6,46.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,4,15.26,9.93,100.7,10.42,13.26,1.6,46.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,5,15.31,10.14,98.62,10.42,13.23,1.6,45.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,1,23.5,10.19,98.14,10.44,13.66,1.6,45.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,2,23.04,10.17,98.33,10.3,13.09,1.6,45.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,3,21.79,10.0,100.0,10.34,13.48,1.6,45.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,4,22.88,9.89,101.11,10.27,13.21,1.6,46.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,5,22.72,10.19,98.14,10.41,13.65,1.6,45.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,1,38.43,10.24,97.66,10.5,13.19,1.6,44.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,2,39.2,10.0,100.0,10.48,13.08,1.6,45.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,3,39.64,10.09,99.11,10.45,13.27,1.6,45.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,4,38.57,10.19,98.14,10.48,13.38,1.6,45.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,5,39.54,9.75,102.56,10.4,13.24,1.6,47.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,1,95.25,9.87,101.32,10.27,13.65,1.6,46.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,2,94.36,9.8,102.04,10.48,13.43,1.6,46.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,3,98.95,10.14,98.62,10.36,13.1,1.6,45.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,4,97.43,10.16,98.43,10.36,13.06,1.6,45.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,5,96.97,10.23,97.75,10.27,13.46,1.6,44.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,1,9.8,12.25,81.63,12.94,16.57,1.6,37.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,2,9.77,12.39,80.71,13.13,16.8,1.6,37.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,3,10.14,12.72,78.62,13.02,16.75,1.6,36.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,4,10.27,12.7,78.74,13.15,17.07,1.6,36.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,5,10.13,12.81,78.06,12.87,16.95,1.6,36.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,1,14.96,12.63,79.18,13.0,16.62,1.6,36.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,2,15.22,12.67,78.93,12.9,16.78,1.6,36.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,3,14.63,12.45,80.32,13.1,16.65,1.6,37.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,4,14.69,12.43,80.45,13.08,16.73,1.6,37.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,5,14.66,12.33,81.1,13.04,16.83,1.6,37.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,1,22.86,12.34,81.04,12.97,17.41,1.6,37.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,2,22.22,12.36,80.91,13.08,16.5,1.6,37.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,3,23.51,12.76,78.37,13.01,16.77,1.6,36.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,4,22.62,12.46,80.26,13.2,16.95,1.6,37.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,5,23.39,12.37,80.84,13.18,16.85,1.6,37.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,1,39.24,12.43,80.45,12.97,16.85,1.6,37.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,2,37.26,12.51,79.94,13.15,16.78,1.6,36.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,3,39.07,12.82,78.0,13.08,17.01,1.6,35.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,4,39.43,12.67,78.93,13.39,16.69,1.6,36.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,5,40.68,12.62,79.24,12.97,16.47,1.6,36.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,1,96.88,12.25,81.63,13.12,16.91,1.6,37.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,2,97.88,12.27,81.5,13.18,16.7,1.6,37.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,3,97.18,12.58,79.49,13.09,16.89,1.6,36.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,4,95.39,12.33,81.1,12.93,16.89,1.6,37.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,5,95.55,12.7,78.74,13.09,16.34,1.6,36.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,1,9.8,19.6,51.02,20.06,26.1,1.6,23.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,2,10.16,19.04,52.52,20.06,25.68,1.6,24.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,3,9.63,19.49,51.31,20.13,25.7,1.6,23.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,4,9.85,19.66,50.86,19.98,25.81,1.6,23.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,5,9.65,19.28,51.87,20.0,26.16,1.6,24.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,1,14.65,19.27,51.89,20.15,24.96,1.6,24.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,2,14.94,18.57,53.85,20.06,25.76,1.6,24.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,3,14.89,18.99,52.66,19.81,25.76,1.6,24.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,4,14.89,18.74,53.36,20.08,24.99,1.6,24.7,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,5,15.2,19.12,52.3,20.28,25.09,1.6,24.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,1,22.0,19.42,51.49,19.82,26.29,1.6,23.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,2,22.22,19.53,51.2,20.07,25.92,1.6,23.7,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,3,23.74,19.36,51.65,20.13,24.52,1.6,23.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,4,22.25,19.2,52.08,20.0,25.68,1.6,24.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,5,22.08,19.08,52.41,20.25,25.9,1.6,24.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,1,39.77,19.07,52.44,20.14,26.16,1.6,24.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,2,39.86,18.94,52.8,19.94,26.12,1.6,24.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,3,37.23,19.23,52.0,20.04,24.98,1.6,24.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,4,39.14,19.23,52.0,19.97,25.1,1.6,24.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,5,38.46,18.91,52.88,20.0,26.17,1.6,24.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,1,94.76,19.55,51.15,20.24,25.14,1.6,23.7,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,2,95.39,19.54,51.18,20.07,25.92,1.6,23.7,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,3,97.44,19.07,52.44,20.03,26.6,1.6,24.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,4,98.43,19.2,52.08,20.14,25.22,1.6,24.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,5,93.52,19.77,50.58,19.68,26.0,1.6,23.4,modeled,2026-05-09T23:05:38
