device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,5,124.12,27.47,36.4,29.7,37.15,4.35,80.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,1,339.53,28.68,34.87,29.42,37.83,4.35,76.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,2,350.37,27.81,35.96,29.94,36.39,4.35,79.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,3,346.39,28.5,35.09,29.47,36.96,4.35,77.2,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,4,344.53,28.29,35.35,29.44,37.04,4.35,77.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,5,334.37,28.78,34.75,29.38,36.3,4.35,76.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,1,26.79,30.06,33.27,31.63,39.73,4.35,73.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,2,27.53,31.07,32.19,31.86,39.56,4.35,70.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,3,26.66,30.35,32.95,31.76,40.6,4.35,72.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,4,27.51,30.12,33.2,31.92,41.63,4.35,73.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,5,27.62,29.9,33.44,31.99,39.71,4.35,73.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,1,45.15,31.08,32.18,31.8,40.43,4.35,70.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,2,46.3,31.12,32.13,31.92,41.06,4.35,70.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,3,43.04,30.79,32.48,32.21,40.12,4.35,71.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,4,45.92,30.41,32.88,31.95,40.78,4.35,72.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,5,45.74,30.85,32.41,32.25,40.46,4.35,71.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,1,70.91,30.33,32.97,32.08,41.38,4.35,72.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,2,70.65,31.17,32.08,31.88,39.93,4.35,70.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,3,67.71,30.95,32.31,31.77,40.1,4.35,71.2,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,4,69.81,30.86,32.4,32.36,39.93,4.35,71.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,5,69.28,31.28,31.97,32.02,40.32,4.35,70.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,1,121.88,29.75,33.61,31.91,39.61,4.35,74.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,2,120.51,29.85,33.5,31.59,40.69,4.35,73.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,3,117.2,30.77,32.5,31.9,40.62,4.35,71.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,4,120.95,30.57,32.71,31.98,40.09,4.35,72.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,5,121.58,29.95,33.39,31.93,41.95,4.35,73.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,1,332.53,30.78,32.49,32.33,40.08,4.35,71.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,2,329.44,31.04,32.22,32.47,39.79,4.35,71.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,3,344.27,31.11,32.14,32.0,40.17,4.35,70.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,4,340.94,31.23,32.02,31.79,40.28,4.35,70.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,5,330.39,30.37,32.93,31.91,40.9,4.35,72.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,1,29.08,36.11,27.69,36.42,45.05,4.35,61.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,2,28.47,34.49,28.99,35.99,45.41,4.35,63.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,3,28.56,34.74,28.79,36.14,46.38,4.35,63.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,4,27.4,35.93,27.83,36.57,44.58,4.35,61.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,5,27.37,35.04,28.54,35.68,45.91,4.35,62.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,1,43.32,35.32,28.31,36.02,45.12,4.35,62.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,2,44.7,34.77,28.76,36.15,44.94,4.35,63.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,3,44.53,35.29,28.34,36.4,45.47,4.35,62.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,4,44.85,35.39,28.26,36.68,45.7,4.35,62.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,5,46.23,35.66,28.04,36.01,46.26,4.35,61.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,1,68.01,36.23,27.6,36.42,45.39,4.35,60.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,2,70.3,35.38,28.26,36.24,46.53,4.35,62.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,3,69.29,34.56,28.94,36.73,46.97,4.35,63.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,4,70.7,34.78,28.75,36.5,44.55,4.35,63.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,5,67.66,34.5,28.99,36.29,45.34,4.35,63.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,1,125.12,35.12,28.47,36.56,47.45,4.35,62.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,2,123.81,34.95,28.61,36.55,46.66,4.35,63.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,3,123.96,34.86,28.69,36.91,45.14,4.35,63.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,4,123.05,35.05,28.53,36.31,45.03,4.35,62.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,5,121.09,36.26,27.58,36.94,45.28,4.35,60.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,1,341.79,34.97,28.6,36.37,45.01,4.35,63.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,2,337.91,34.65,28.86,36.24,45.69,4.35,63.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,3,331.78,33.67,29.7,36.38,45.28,4.35,65.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,4,329.37,34.47,29.01,36.45,46.65,4.35,64.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,5,333.86,34.22,29.22,36.72,45.86,4.35,64.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,1,27.23,45.72,21.87,47.55,59.45,4.35,48.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,2,27.07,44.0,22.73,46.8,60.69,4.35,50.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,3,27.02,46.48,21.51,47.85,61.73,4.35,47.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,4,28.29,45.29,22.08,47.68,59.33,4.35,48.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,5,27.16,44.89,22.28,47.39,57.47,4.35,49.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,1,44.68,46.24,21.63,47.72,59.17,4.35,47.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,2,43.36,48.27,20.72,47.19,60.17,4.35,45.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,3,44.02,47.74,20.95,48.24,58.72,4.35,46.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,4,45.07,46.87,21.34,48.39,61.13,4.35,47.2,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,5,47.91,45.27,22.09,47.11,59.26,4.35,48.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,1,68.38,47.29,21.15,47.3,59.66,4.35,46.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,2,70.09,46.17,21.66,47.26,59.72,4.35,47.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,3,71.8,46.33,21.58,47.67,58.42,4.35,47.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,4,68.55,45.82,21.82,48.04,58.04,4.35,48.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,5,67.87,46.26,21.62,48.02,60.23,4.35,47.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,1,123.05,45.98,21.75,47.41,60.14,4.35,48.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,2,123.66,45.76,21.85,47.56,57.32,4.35,48.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,3,125.76,45.38,22.04,48.09,59.63,4.35,48.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,4,120.8,45.7,21.88,47.78,60.06,4.35,48.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,5,123.47,44.99,22.23,48.01,58.69,4.35,49.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,1,339.33,45.65,21.91,47.82,59.16,4.35,48.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,2,332.47,45.36,22.05,47.69,59.92,4.35,48.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,3,325.82,45.78,21.84,47.13,60.11,4.35,48.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,4,337.57,44.79,22.33,47.4,59.0,4.35,49.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,512,50,5,348.29,45.82,21.82,47.65,59.28,4.35,48.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,1,27.81,74.37,13.45,80.02,100.22,4.35,29.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,2,27.79,78.0,12.82,78.48,99.25,4.35,28.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,3,27.94,77.12,12.97,78.99,99.23,4.35,28.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,4,28.27,76.9,13.0,79.94,100.28,4.35,28.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,1024,50,5,26.88,76.94,13.0,78.6,99.18,4.35,28.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,1,45.39,77.83,12.85,79.66,97.08,4.35,28.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,2,46.11,74.39,13.44,79.28,97.36,4.35,29.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,3,45.26,77.61,12.88,81.18,101.18,4.35,28.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,4,44.85,76.88,13.01,79.45,99.17,4.35,28.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,1024,50,5,45.92,74.42,13.44,79.48,95.22,4.35,29.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,1,68.23,75.53,13.24,79.93,99.25,4.35,29.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,2,67.07,78.45,12.75,78.62,100.91,4.35,28.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,3,67.88,75.5,13.25,78.97,98.19,4.35,29.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,4,71.21,77.14,12.96,78.3,98.89,4.35,28.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,1024,50,5,69.63,76.42,13.09,79.83,99.5,4.35,29.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,1,118.72,75.6,13.23,78.15,98.77,4.35,29.4,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,2,124.17,76.42,13.09,79.06,102.78,4.35,29.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,3,120.41,76.29,13.11,79.54,97.87,4.35,29.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,4,116.17,76.69,13.04,79.73,99.42,4.35,29.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,1024,50,5,122.11,76.69,13.04,78.5,97.98,4.35,29.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,1,339.55,78.55,12.73,78.92,99.95,4.35,28.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,2,350.34,76.96,12.99,80.01,99.93,4.35,28.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,3,349.08,75.78,13.2,79.24,98.02,4.35,29.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,4,329.53,74.72,13.38,79.07,100.46,4.35,29.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,1024,50,5,344.41,77.66,12.88,79.4,100.56,4.35,28.6,measured,2026-05-09T23:05:38
